label,train_acc,test_acc,train_f1,test_f1,train_prec,test_prec,train_rec,test_rec,overfitting_%
IsToxic,0.9669889963321107,0.896,0.9805002954500689,0.9384858044164038,0.9924242424242424,0.952,0.9688594783962632,0.9253499222395023,4.201449103366506
IsAbusive,0.9646548849616539,0.904,0.9732323232323232,0.9256198347107438,0.9702920443101712,0.9105691056910569,0.9761904761904762,0.9411764705882353,4.76124885215794
IsProvocative,0.9689896632210737,0.9053333333333333,0.9484193011647255,0.8418708240534521,0.9273318872017353,0.84375,0.9704880817253121,0.84,10.654847711127335
IsObscene,0.9869956652217405,0.9613333333333334,0.9661164205039097,0.8975265017667845,0.9423728813559322,0.8819444444444444,0.9910873440285205,0.9136690647482014,6.858991873712517
IsHatespeech,0.970323441147049,0.9413333333333334,0.9435637285986049,0.8981481481481481,0.9073170731707317,0.8660714285714286,0.9828269484808454,0.9326923076923077,4.541558045045679
IsRacist,0.9709903301100367,0.9413333333333334,0.939203354297694,0.8916256157635468,0.8936170212765957,0.8578199052132701,0.9896907216494846,0.9282051282051282,4.757773853414715
