label,train_acc,test_acc,train_f1,test_f1,train_prec,test_prec,train_rec,test_rec,diff_acc,diff_f1
IsToxic,0.9440203562340967,0.7796610169491526,0.9558232931726908,0.8293963254593176,0.9635627530364372,0.8020304568527918,0.9482071713147411,0.8586956521739131,16.435933928494418,12.642696771337313
IsAbusive,0.9550466497031382,0.823728813559322,0.944963655244029,0.796875,0.9498956158663883,0.85,0.9400826446280992,0.75,13.13178361438162,14.808865524402904
IsProvocative,0.9754028837998303,0.9016949152542373,0.9389473684210526,0.7883211678832117,0.902834008097166,0.8307692307692308,0.9780701754385965,0.75,7.370796854559303,15.062620053784093
IsObscene,0.9855810008481765,0.9491525423728814,0.9614512471655329,0.8695652173913043,0.9422222222222222,0.8928571428571429,0.9814814814814815,0.847457627118644,3.642845847529508,9.188602977422855
IsHatespeech,0.9652247667514843,0.9288135593220339,0.9411764705882353,0.8590604026845637,0.9010989010989011,0.8205128205128205,0.984984984984985,0.9014084507042254,3.6411207429450365,8.211606790367155
IsRacist,0.9660729431721798,0.9322033898305084,0.9390243902439024,0.8571428571428571,0.8927536231884058,0.8,0.9903536977491961,0.9230769230769231,3.386955334167141,8.188153310104529
